site,province,Code
3   ,BC      ,JBRIK
4   ,BC      ,JABNO
7   ,BC      ,JBLVS
8   ,BC      ,JAFNW
9   ,BC      ,JAFUV
10  ,BC      ,JBOBQ
11  ,MB      ,GBEIN
12  ,SK      ,HAHJJ
13  ,SK      ,HAIMP
14  ,AB      ,IACMP
15  ,AB      ,IAEJS
16  ,AB      ,IAKID
17  ,ON      ,FEUZB
18  ,ON      ,FDEGT
19  ,ON      ,FEVNT
20  ,QC      ,EHHUN
23  ,NS      ,CBUCG
24  ,NB      ,DAEGW
29  ,PE      ,BAARG
31  ,NL      ,ABEFS
33  ,BC      ,JCVCC
34  ,BC      ,JBXHZ
35  ,MB      ,GADMZ
36  ,AB      ,IAIUC
37  ,AB      ,IAFFM
38  ,AB      ,IAFFI
39  ,AB      ,IAFFF
44  ,AB      ,IAFEW
45  ,AB      ,IAHMM
48  ,BC      ,JAZBU
49  ,BC      ,JDATF
50  ,BC      ,JAQAL
51  ,BC      ,JBOAP
52  ,BC      ,JBHJG
53  ,BC      ,JBNTS
54  ,AB      ,IADGP
55  ,NS      ,CBLGX
56  ,NL      ,AAEOU
57  ,PE      ,BADSZ
58  ,ON      ,FALIF
59  ,ON      ,FEAKO
60  ,ON      ,FCGKZ
61  ,ON      ,FDMOP
62  ,ON      ,FAMXK
63  ,ON      ,FDGED
64  ,PE      ,BAEMV
65  ,QC      ,EHTWR
66  ,QC      ,EGLTT
67  ,BC      ,JBLXS
68  ,BC      ,JCJHI
69  ,BC      ,JBTMB
70  ,NS      ,CASWE
71  ,NS      ,CBDPK
72  ,NS      ,CBELL
73  ,NS      ,CAORH
74  ,BC      ,JBBWA
75  ,NB      ,DADHJ
76  ,NB      ,DAFMJ
77  ,SK      ,HAPNV
78  ,NL      ,ABYRK
79  ,SK      ,HAPKT
80  ,ON      ,FEVNS
81  ,AB      ,IAEFD
82  ,BC      ,JCVCJ
83  ,BC      ,JCUYZ
84  ,BC      ,JAHJY
86  ,BC      ,JCAAC
87  ,AB      ,IABOA
88  ,AB      ,IAKRM
89  ,NB      ,DAFQX
90  ,ON      ,FEVJR
91  ,ON      ,FDZCP
92  ,ON      ,FDGEJ
93  ,ON      ,FCAEN
94  ,NT      ,LBAMG
95  ,NL      ,AADCE
96  ,NB      ,DALZZ
97  ,NB      ,DAHEI
98  ,NB      ,DBEDJ
99  ,NL      ,ABFQA
100 ,NT      ,LALNA
101 ,ON      ,FAFFD
102 ,ON      ,FDJFN
103 ,NU      ,OATRP
104 ,ON      ,FAZKI
113 ,BC      ,JAGPB
114 ,BC      ,JBXCK
115 ,ON      ,FCWYG
116 ,ON      ,FDQBU
117 ,ON      ,FDQBX
118 ,ON      ,FCKTB
119 ,ON      ,FDATE
120 ,ON      ,FCNJT
121 ,ON      ,FEUTC
122 ,ON      ,FEARV
123 ,ON      ,FCIBD
124 ,ON      ,FAYJG
125 ,ON      ,FCWOV
126 ,ON      ,FALJI
127 ,ON      ,FEBWC
128 ,ON      ,FBKKK
129 ,ON      ,FBLJL
130 ,ON      ,FBLKS
131 ,ON      ,FDSUS
132 ,ON      ,FEVJS
133 ,ON      ,FCCOT
134 ,ON      ,FAYVQ
135 ,ON      ,FDGJS
136 ,ON      ,FEVJV
137 ,ON      ,FCFUU
138 ,ON      ,FCTOV
139 ,ON      ,FCWFX
140 ,ON      ,FDCHU
141 ,NU      ,OAUDO
142 ,NU      ,OATSD
143 ,NT      ,LAILN
144 ,YU      ,KAHFT
145 ,BC      ,JBMQO
146 ,NS      ,CAPHL
147 ,NS      ,CATHI
149 ,BC      ,JCMDB
150 ,AB      ,IAQFR
151 ,SK      ,HAUQM
152 ,ON      ,FDGEM
